Growth.rate	Detergent
2.919085587	BrandA
2.49290403	BrandA
3.021804251	BrandA
2.350874335	BrandA
3.148173559	BrandA
4.423852931	BrandA
4.870958803	BrandA
3.897731347	BrandA
5.830881925	BrandA
2.3027171	BrandB
3.195969626	BrandB
2.829021095	BrandB
3.027499621	BrandB
5.285108403	BrandB
4.260954913	BrandB
4.049527754	BrandB
4.623400317	BrandB
5.625844909	BrandB
2.634182102	BrandC
3.513746393	BrandC
3.714657446	BrandC
3.862106084	BrandC
3.955181039	BrandC
3.044307782	BrandC
3.358051334	BrandC
5.633479467	BrandC
4.613174755	BrandC
2.200592859	BrandD
2.233799598	BrandD
3.357183631	BrandD
3.111763697	BrandD
4.842597624	BrandD
4.36259229	BrandD
2.23021006	BrandD
3.104322517	BrandD
4.762764289	BrandD
2.319406055	BrandA
2.098190677	BrandA
3.541968991	BrandA
3.888784107	BrandA
3.960037772	BrandA
5.742290286	BrandA
5.244230091	BrandA
4.795048308	BrandA
5.380755443	BrandA
3.610532158	BrandB
2.24765071	BrandB
3.388947185	BrandB
4.061629942	BrandB
5.478983004	BrandB
4.303407161	BrandB
3.973059861	BrandB
4.632224111	BrandB
5.284316226	BrandB
2.480983544	BrandC
3.950709949	BrandC
2.133731304	BrandC
5.586468488	BrandC
6.918344272	BrandC
5.270420973	BrandC
2.015706722	BrandC
3.467041808	BrandC
5.028927385	BrandC
2.3071735	BrandD
2.96227354	BrandD
2.69976154	BrandD
6.569411852	BrandD
6.405129788	BrandD
5.990972601	BrandD
2.553241161	BrandD
2.592765531	BrandD
1.761603478	BrandD
